821,0.45,RKBBNQRN
927,0.45,RKRQNNBB
938,0.45,RKRNBBQN
40,0.44,NBNQBRKR
63,0.44,NNRQKRBB
71,0.44,NNBRKQRB
118,0.44,NQBRNBKR
138,0.44,NRQNBBKR
216,0.44,NBQRBKNR
261,0.44,NRBBKNQR
293,0.44,QNBBRKRN
334,0.44,NRQKRBBN
373,0.44,NRBBKRNQ
426,0.44,RNQNBBKR
454,0.44,RNBNKBQR
473,0.44,RNNBBKRQ
539,0.44,RNKQBNRB
629,0.44,RNBBKQRN
731,0.44,RKNQBNRB
790,0.44,RQBKNBRN
936,0.44,RBKRBNQN
49,0.43,BNNBRQKR
62,0.43,NNRQKBBR
74,0.43,NNRKBBQR
105,0.43,QNRBBNKR
112,0.43,BBNQRNKR
147,0.43,BNRNQKRB
148,0.43,NBBRNQKR
181,0.43,NRBBNKRQ
250,0.43,NRKQBBNR
254,0.43,NRKQNBBR
292,0.43,QBBNRKRN
310,0.43,NQBRKBRN
365,0.43,NRKBRQBN
374,0.43,NRBKRBNQ
385,0.43,BQRBNNKR
424,0.43,RBNQBNKR
523,0.43,RNQKBNRB
583,0.43,QRBNKRNB
666,0.43,RNKRBBNQ
684,0.43,QBRKNNBR
716,0.43,RBKQNNBR
804,0.43,RBBKQNRN
828,0.43,RBKNQRBN
843,0.43,RKNRBQNB
917,0.43,RKBBRQNN
101,0.42,QNBBRNKR
110,0.42,QNRNKBBR
173,0.42,NRNBKQBR
191,0.42,NRNKRQBB
322,0.42,BNRQKBRN
415,0.42,RQNNKRBB
464,0.42,BBRNNKRQ
527,0.42,RNQKNRBB
622,0.42,RNQKRBBN
735,0.42,RKNQNRBB
772,0.42,QBBRKNRN
799,0.42,RQKNRNBB
870,0.42,QRBKRBNN
909,0.42,RKQBRNBN
28,0.41,NBQNRKBR
32,0.41,BBNNQRKR
73,0.41,NNRBBKQR
144,0.41,BBNRNQKR
178,0.41,BNRNKBRQ
277,0.41,NRBBKNRQ
288,0.41,BBQNRKRN
321,0.41,BNRBQKRN
341,0.41,NRBBKQRN
343,0.41,NRBKQRNB
355,0.41,BNRKRQNB
384,0.41,BBQRNNKR
635,0.41,RNKQBRNB
637,0.41,RNKBQRBN
654,0.41,RNKRQBBN
658,0.41,BRNKRBNQ
693,0.41,RQBBKNNR
717,0.41,RKQBNNBR
766,0.41,RKNNRBBQ
769,0.41,BQRBKNRN
881,0.41,BRQBKRNN
900,0.41,RBBKQRNN
926,0.41,RKRQNBBN
933,0.41,RKBBRNQN
13,0.4,QNNBRKBR
20,0.4,NBBQNRKR
37,0.4,NNBBQRKR
46,0.4,NNQRKBBR
79,0.4,NNRKQRBB
81,0.4,BNNBRKRQ
185,0.4,NRNBBKRQ
190,0.4,NRNKRBBQ
196,0.4,QBBNRKNR
312,0.4,NBQRBKRN
330,0.4,NRQKBBRN
337,0.4,BNRBKQRN
361,0.4,NRKBBRQN
490,0.4,QRNKBBNR
526,0.4,RNQKNBBR
566,0.4,RNBKNBRQ
764,0.4,RBKNNRBQ
781,0.4,QRKBNRBN
803,0.4,BRKQNRNB
820,0.4,RBBKNQRN
850,0.4,BRKNRBNQ
863,0.4,RKNRNQBB
871,0.4,QRBKRNNB
874,0.4,QRKRBBNN
923,0.4,RKRQBNNB
10,0.39,QNNRBBKR
45,0.39,NNQBRKBR
57,0.39,NNRBBQKR
58,0.39,NNRQBBKR
60,0.39,NBNRQKBR
117,0.39,NQBBRNKR
169,0.39,NRNBBKQR
237,0.39,NRQBKNBR
278,0.39,NRBKNBRQ
281,0.39,NRKBBNRQ
290,0.39,BQNRKBRN
306,0.39,BNQRKBRN
335,0.39,NRQKRNBB
447,0.39,RNNQKRBB
502,0.39,RQBNKBNR
510,0.39,RQNKNBBR
584,0.39,QBRNBKRN
594,0.39,BRQNKBRN
704,0.39,BBRKQNNR
729,0.39,RKNBBQNR
737,0.39,BRKBNNQR
816,0.39,BBRKNQRN
943,0.39,RKRNQNBB
957,0.39,RKRBNNBQ
958,0.39,RKRNNBBQ
82,0.38,BNNRKBRQ
93,0.38,NNRBKRBQ
94,0.38,NNRKRBBQ
140,0.38,NBRQNKBR
164,0.38,NBBRNKQR
183,0.38,NRBNKRQB
187,0.38,NRNKBRQB
248,0.38,NBRKBQNR
302,0.38,QNRKRBBN
340,0.38,NBBRKQRN
342,0.38,NRBKQBRN
390,0.38,QRBNNBKR
460,0.38,RBNNKQBR
474,0.38,RNNKBBRQ
476,0.38,RBNNKRBQ
501,0.38,RQBBNKNR
522,0.38,RNQKBBNR
545,0.38,BRNBKNQR
570,0.38,RNKNBBRQ
607,0.38,RQNKRNBB
617,0.38,RNQBBKRN
676,0.38,QBBRKNNR
699,0.38,RQKNBNRB
702,0.38,RQKNNBBR
718,0.38,RKQNNBBR
721,0.38,BRKBNQNR
742,0.38,RKBNNBQR
765,0.38,RKNBNRBQ
857,0.38,RKNBBRNQ
869,0.38,QRBBKRNN
872,0.38,QBRKBRNN
875,0.38,QRKRBNNB
896,0.38,BBRKQRNN
2,0.37,BQNNRBKR
22,0.37,NQBNRBKR
42,0.37,NNQRBBKR
51,0.37,BNNRQKRB
56,0.37,NBNRBQKR
59,0.37,NNRQBKRB
87,0.37,NNBRKRQB
89,0.37,NNRBBKRQ
90,0.37,NNRKBBRQ
128,0.37,BBNRQNKR
186,0.37,NRNKBBRQ
264,0.37,NBRKBNQR
286,0.37,NRKNRBBQ
308,0.37,NBBQRKRN
357,0.37,NRBBKRQN
377,0.37,NRKBBRNQ
430,0.37,RNQNKBBR
468,0.37,RBBNNKRQ
503,0.37,RQBNKNRB
511,0.37,RQNKNRBB
517,0.37,RNBBQKNR
536,0.37,RBNKBQNR
585,0.37,QRNBBKRN
598,0.37,RQBNKBRN
613,0.37,RNBBQKRN
632,0.37,RBNKBQRN
650,0.37,RNKRBBQN
758,0.37,RKBNNBRQ
773,0.37,QRBBKNRN
808,0.37,RBKQBNRN
876,0.37,QBRKRNBN
888,0.37,RBQKBRNN
910,0.37,RKQRNBBN
951,0.37,RKBRNNQB
9,0.36,QNNBBRKR
21,0.36,NQBBNRKR
95,0.36,NNRKRQBB
96,0.36,BBQNRNKR
146,0.36,BNRNQBKR
166,0.36,NRBNKBQR
189,0.36,NRNBKRBQ
227,0.36,BNRQKNRB
228,0.36,NBBRQKNR
276,0.36,NBBRKNRQ
294,0.36,QNBRKBRN
303,0.36,QNRKRNBB
325,0.36,NRBBQKRN
326,0.36,NRBQKBRN
353,0.36,BNRBKRQN
362,0.36,NRKRBBQN
382,0.36,NRKRNBBQ
421,0.36,RNBBQNKR
441,0.36,RNNBBQKR
479,0.36,RNNKRQBB
485,0.36,QRBBNKNR
488,0.36,QBRNBKNR
506,0.36,RQNKBBNR
532,0.36,RBBNKQNR
602,0.36,RQNKBBRN
667,0.36,RNKRBNQB
694,0.36,RQBKNBNR
705,0.36,BRKBQNNR
754,0.36,BRKNNBRQ
